,0
229,107462.40959000001
230,108702.24959000002
231,109446.39959000002
232,107053.22959
233,107053.22959
234,107053.22959
235,107409.51959000001
236,109201.62959000001
237,108599.74959000002
238,109493.54959000001
239,109178.25959000002
240,109178.25959000002
241,109178.25959000002
242,110061.39959000002
243,111231.94959
244,111324.19959
245,110688.28959000001
246,109745.69959
247,109745.69959
248,109745.69959
249,109751.84959000001
250,108286.91959
251,108485.35959000002
252,109614.49959000002
253,109736.26959000001
254,109736.26959000001
255,109736.26959000001
256,108840.00959000002
257,109116.75959000002
258,108332.42959000001
259,108088.88959000002
260,109470.17959000001
261,109470.17959000001
262,109470.17959000001
263,109847.78959000001
264,109818.67959000001
265,110879.34959000001
266,111915.82959000002
267,112106.47959
268,112106.47959
269,112106.47959
270,112205.28959000001
271,111439.40959000001
272,111890.81959000001
273,111795.28959000001
274,111501.72959
275,111501.72959
276,111501.72959
277,112323.36959000002
278,111971.99959000002
279,112334.84959000001
280,112108.11959000002
281,111844.48959000001
282,111844.48959000001
283,111844.48959000001
284,111844.48959000001
285,110554.21959000002
286,111954.36959000002
287,111186.02959
288,112389.37959000001
289,112389.37959000001
290,112389.37959000001
291,112891.62959000001
292,112970.75959000002
293,113936.30959
294,113855.12959000001
295,114210.18959000002
296,114210.18959000002
297,114210.18959000002
298,114331.95959000001
299,114530.80959
300,114070.78959000001
301,114352.04959000001
302,114236.01959000001
303,114236.01959000001
304,114236.01959000001
305,113993.70959000001
306,113536.14959000002
307,113730.07959000002
308,113010.11959000002
309,113220.03959000001
310,113220.03959000001
311,113220.03959000001
312,111669.82959000002
313,111915.41959
314,110954.78959000001
315,111638.66959
316,111723.12959000001
317,111723.12959000001
318,111723.12959000001
319,112065.06959000001
320,111511.97959
321,111511.97959
322,112470.96959000002
323,113422.57959000002
324,113422.57959000002
325,113422.57959000002
326,114420.92959000001
327,114817.39959000002
328,114004.77959
329,114999.84959000001
330,115123.66959
331,115123.66959
332,115123.66959
333,115005.58959
334,115461.50959000002
335,115710.37959000001
336,115254.04959000001
337,115144.98959000001
338,115144.98959000001
339,115144.98959000001
340,115356.13959000002
341,115906.35959000002
342,116958.82959000002
343,116604.99959000002
344,115841.57959000002
345,115841.57959000002
346,115841.57959000002
347,115176.55959
348,115737.84959000001
349,115617.71959000002
350,116185.97959
351,116724.30959
352,116724.30959
353,116724.30959
354,117136.35959000002
355,117466.40959000001
356,117435.65959000001
357,117266.73959000001
358,116434.43959000002
359,116434.43959000002
360,116434.43959000002
361,115969.08959
362,116708.31959000001
363,115823.12959000001
364,116738.24959000002
365,117125.28959000001
